,0
874,2759024
875,2759905
876,2759014
877,2759971
878,2759973
879,2759051
880,2759556
881,2759017
882,2759015
883,2760141
884,2759027
885,2759340
886,2759022
887,2759297
888,2759298
889,2759096
890,2759094
891,2759013
892,2759028
893,2760046
894,2759164
895,2759169
