,0
798,2759386
799,2759449
800,2759202
801,2759161
802,2759843
803,2759690
804,2759496
805,2759293
806,2759289
807,2759959
808,2759148
809,2759160
810,2759135
811,2759155
812,2759134
813,2759158
814,2760052
815,2759552
816,2759167
817,2759145
818,2760130
819,2759218
820,2759166
821,2759146
822,2759396
823,2759209
824,2759031
825,2759905
826,2759665
827,2759492
828,2759340
829,2759297
830,2759971
831,2759973
832,2759096
833,2759094
834,2759017
835,2759015
836,2759013
837,2759028
838,2759027
839,2760046
840,2760047
841,2759556
842,2759164
843,2759169
844,2759014
845,2759127
846,2760141
847,2759024
848,2759022
