,lowest_price_good_now,id,dateutc,listing_count,avg_price,lowest_price_good_ago,lowest_price,highest_price,city,venuename,venuescore,ticket_score,home_team,away_team,hometeamscore,awayteamscore,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
28,30.0,2759826,2016-01-09,1539.0,156.0,28.0,28.0,1617.0,San Antonio,AT&T Center,0.7648,0.78535,San Antonio Spurs,New York Knicks,0.70492,0.81215,41,2015-11-29,1,0.824,5.0,2,1,0.471,-3.0,19,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Saturday,2016-01-09
29,28.0,2759097,2016-04-03,1659.0,130.0,28.0,28.0,1333.0,San Antonio,AT&T Center,0.7648,0.75789,San Antonio Spurs,Toronto Raptors,0.70492,0.68539,126,2015-11-29,1,0.824,5.0,2,1,0.647,4.0,7,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-04-03
30,52.0,2759395,2016-03-11,1639.0,169.0,37.0,37.0,2190.0,San Antonio,AT&T Center,0.7648,0.78702,San Antonio Spurs,Chicago Bulls,0.70492,0.76158,103,2015-11-29,1,0.824,5.0,2,2,0.643,-1.0,8,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Friday,2016-03-11
31,10.0,2759435,2016-03-03,1686.0,98.0,11.0,11.0,1047.0,San Antonio,AT&T Center,0.7648,0.74565,San Antonio Spurs,Detroit Pistons,0.70492,0.63675,95,2015-11-29,1,0.824,5.0,2,0,0.5,-1.0,17,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2016-03-03
32,23.0,2759211,2015-12-22,1483.0,126.0,23.0,23.0,1102.0,San Antonio,AT&T Center,0.7648,0.7563,San Antonio Spurs,Indiana Pacers,0.70492,0.67765,23,2015-11-29,1,0.824,5.0,2,2,0.667,4.0,4,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Tuesday,2015-12-22
33,24.0,2759673,2016-03-24,1630.0,127.0,24.0,24.0,1164.0,San Antonio,AT&T Center,0.7648,0.81715,San Antonio Spurs,Miami Heat,0.70492,0.78556,116,2015-11-29,1,0.824,5.0,2,2,0.667,1.0,5,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2016-03-24
34,10.0,2759488,2015-12-17,1570.0,78.0,10.0,10.0,1255.0,San Antonio,AT&T Center,0.7648,0.74332,San Antonio Spurs,Washington Wizards,0.70492,0.71492,18,2015-11-29,1,0.824,5.0,2,2,0.429,-4.0,21,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2015-12-17
35,43.0,2759346,2015-12-27,1454.0,163.0,39.0,39.0,1449.0,San Antonio,AT&T Center,0.7648,0.75803,San Antonio Spurs,Denver Nuggets,0.70492,0.6663,28,2015-11-29,1,0.824,5.0,2,0,0.353,-6.0,24,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2015-12-27
36,40.0,2759288,2015-12-29,1569.0,120.0,34.0,34.0,1131.0,San Antonio,AT&T Center,0.7648,0.76027,San Antonio Spurs,Minnesota Timberwolves,0.70492,0.64841,30,2015-11-29,1,0.824,5.0,2,1,0.5,3.0,16,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Tuesday,2015-12-29
37,72.0,2759119,2016-03-13,1515.0,221.0,50.0,50.0,2488.0,San Antonio,AT&T Center,0.7648,0.7816,San Antonio Spurs,Oklahoma City Thunder,0.70492,0.70262,105,2015-11-29,1,0.824,5.0,2,3,0.647,4.0,6,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-03-13
38,50.0,2759124,2016-04-13,1495.0,187.0,35.0,35.0,2500.0,San Antonio,AT&T Center,0.7648,0.7885,San Antonio Spurs,Oklahoma City Thunder,0.70492,0.70262,136,2015-11-29,1,0.824,5.0,2,3,0.647,4.0,6,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Wednesday,2016-04-13
39,24.0,2759957,2016-03-18,1484.0,118.0,24.0,24.0,1344.0,San Antonio,AT&T Center,0.7648,0.73339,San Antonio Spurs,Portland Trail Blazers,0.70492,0.68068,110,2015-11-29,1,0.824,5.0,2,1,0.412,1.0,22,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Friday,2016-03-18
40,10.0,2759125,2015-12-15,1715.0,67.0,11.0,11.0,1412.0,San Antonio,AT&T Center,0.7648,0.74428,San Antonio Spurs,Utah Jazz,0.70492,0.61504,16,2015-11-29,1,0.824,5.0,2,1,0.533,2.0,13,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Tuesday,2015-12-15
41,11.0,2759107,2016-01-07,1809.0,90.0,11.0,11.0,1039.0,San Antonio,AT&T Center,0.7648,0.76114,San Antonio Spurs,Utah Jazz,0.70492,0.61504,39,2015-11-29,1,0.824,5.0,2,1,0.533,2.0,13,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2016-01-07
42,54.0,2759106,2015-12-19,1565.0,180.5,60.0,60.0,1733.0,San Antonio,AT&T Center,0.7648,0.79006,San Antonio Spurs,Los Angeles Clippers,0.70492,0.75476,20,2015-11-29,1,0.824,5.0,2,2,0.5,1.0,15,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Saturday,2015-12-19
