,0
870,2759094
871,2760141
872,2759017
873,2759015
874,2759013
875,2759028
876,2759027
877,2760046
878,2760047
879,2759556
880,2759164
881,2759169
882,2759014
883,2759051
884,2759031
885,2759905
886,2759127
887,2759024
