,listing_count,avg_price,lowest_price_good,lowest_price,highest_price,city,venuename,venuescore,ticket_score,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
28,3864.0,77.5,15.0,15.0,3784.0,Miami,American Airlines Arena,0.85776,0.81615,2759648,Miami Heat,Denver Nuggets,0.78556,0.6663,2016-03-14,106,2015-11-29,2,0.667,1.0,5,0,0.353,-6.0,24,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-14
29,3893.0,98.0,23.0,23.0,4140.0,Miami,American Airlines Arena,0.85776,0.81738,2759639,Miami Heat,Orlando Magic,0.78556,0.67859,2016-03-26,118,2015-11-29,2,0.667,1.0,5,0,0.5,2.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-26
30,4151.0,85.0,10.0,10.0,4731.0,Miami,American Airlines Arena,0.85776,0.81302,2759646,Miami Heat,Orlando Magic,0.78556,0.67859,2016-04-10,133,2015-11-29,2,0.667,1.0,5,0,0.5,2.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-04-10
31,29.0,57.0,7.0,7.0,202.0,Miami,American Airlines Arena,0.85776,0.78884,2759732,Miami Heat,Boston Celtics,0.78556,0.74908,2015-12-01,1,2015-11-30,2,0.667,1.0,5,0,0.529,-1.0,16,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-01
32,3399.0,146.0,45.0,45.0,6505.0,Miami,American Airlines Arena,0.85776,0.84152,2759651,Miami Heat,Brooklyn Nets,0.78556,0.75524,2015-12-29,29,2015-11-30,2,0.667,1.0,5,3,0.235,1.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-29
33,4072.0,76.0,18.0,18.0,4435.0,Miami,American Airlines Arena,0.85776,0.82779,2759635,Miami Heat,Brooklyn Nets,0.78556,0.75524,2016-03-28,119,2015-11-30,2,0.667,1.0,5,3,0.235,1.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-28
34,3847.0,125.0,35.0,35.0,5914.0,Miami,American Airlines Arena,0.85776,0.84336,2759767,Miami Heat,New York Knicks,0.78556,0.81215,2016-01-07,38,2015-11-30,2,0.667,1.0,5,1,0.444,-4.0,20,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-01-07
35,4018.0,79.0,20.0,20.0,4140.0,Miami,American Airlines Arena,0.85776,0.83536,2759683,Miami Heat,Philadelphia 76ers,0.78556,0.70023,2016-03-06,97,2015-11-30,2,0.667,1.0,5,0,0.0,-18.0,30,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-03-06
36,3424.0,98.5,35.0,35.0,4731.0,Miami,American Airlines Arena,0.85776,0.82222,2759671,Miami Heat,Toronto Raptors,0.78556,0.68539,2015-12-19,19,2015-11-30,2,0.667,1.0,5,1,0.611,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2015-12-19
37,3822.0,142.0,33.0,33.0,5914.0,Miami,American Airlines Arena,0.85776,0.84987,2759649,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-03-02,93,2015-11-30,2,0.667,1.0,5,2,0.643,-1.0,7,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-03-02
